EvID,PaperID,Vote,v_5,v_6,v_6_coded,v_5_6_merged,v_11,v_11_coded,v_12,v_14,v_15,v_16,v_16_coded,v_15_16_merged,v_19,v_19_coded,v_124,v_118,v_119,v_120,v_121
7,410,Unimportant,Requirements Engineer,NotAnswered,NotAnswered,Requirements Engineer,50,50.0,Yes,Medium (5-10),(Business) information systems,NotAnswered,NotAnswered,(Business) information systems,"administration, pharmaceutical, goverment",Multiple Sectors,Denmark,quoted,not quoted,quoted,not quoted
7,423,Unimportant,Requirements Engineer,NotAnswered,NotAnswered,Requirements Engineer,50,50.0,Yes,Medium (5-10),(Business) information systems,NotAnswered,NotAnswered,(Business) information systems,"administration, pharmaceutical, goverment",Multiple Sectors,Denmark,quoted,not quoted,quoted,not quoted
7,430,Unimportant,Requirements Engineer,NotAnswered,NotAnswered,Requirements Engineer,50,50.0,Yes,Medium (5-10),(Business) information systems,NotAnswered,NotAnswered,(Business) information systems,"administration, pharmaceutical, goverment",Multiple Sectors,Denmark,quoted,not quoted,quoted,not quoted
8,82,Unimportant,Other (please specify),"Functional Safety Consultant focussing of the system and software development process according IEC 61508, ISO26262, DO178C, EN50128",Consultant,Consultant,15,15.0,Yes,Medium (5-10),Software-intensive embedded systems,NotAnswered,NotAnswered,Software-intensive embedded systems,"railway, automotive, avionics, Industrial I have customers in all sectors currently",Multiple Sectors,Germany,quoted,quoted,not quoted,not quoted
8,100,Worthwhile,Other (please specify),"Functional Safety Consultant focussing of the system and software development process according IEC 61508, ISO26262, DO178C, EN50128",Consultant,Consultant,15,15.0,Yes,Medium (5-10),Software-intensive embedded systems,NotAnswered,NotAnswered,Software-intensive embedded systems,"railway, automotive, avionics, Industrial I have customers in all sectors currently",Multiple Sectors,Germany,quoted,quoted,not quoted,not quoted
8,105,Unimportant,Other (please specify),"Functional Safety Consultant focussing of the system and software development process according IEC 61508, ISO26262, DO178C, EN50128",Consultant,Consultant,15,15.0,Yes,Medium (5-10),Software-intensive embedded systems,NotAnswered,NotAnswered,Software-intensive embedded systems,"railway, automotive, avionics, Industrial I have customers in all sectors currently",Multiple Sectors,Germany,quoted,quoted,not quoted,not quoted
8,117,Unimportant,Other (please specify),"Functional Safety Consultant focussing of the system and software development process according IEC 61508, ISO26262, DO178C, EN50128",Consultant,Consultant,15,15.0,Yes,Medium (5-10),Software-intensive embedded systems,NotAnswered,NotAnswered,Software-intensive embedded systems,"railway, automotive, avionics, Industrial I have customers in all sectors currently",Multiple Sectors,Germany,quoted,quoted,not quoted,not quoted
8,173,Unimportant,Other (please specify),"Functional Safety Consultant focussing of the system and software development process according IEC 61508, ISO26262, DO178C, EN50128",Consultant,Consultant,15,15.0,Yes,Medium (5-10),Software-intensive embedded systems,NotAnswered,NotAnswered,Software-intensive embedded systems,"railway, automotive, avionics, Industrial I have customers in all sectors currently",Multiple Sectors,Germany,quoted,quoted,not quoted,not quoted
8,179,Worthwhile,Other (please specify),"Functional Safety Consultant focussing of the system and software development process according IEC 61508, ISO26262, DO178C, EN50128",Consultant,Consultant,15,15.0,Yes,Medium (5-10),Software-intensive embedded systems,NotAnswered,NotAnswered,Software-intensive embedded systems,"railway, automotive, avionics, Industrial I have customers in all sectors currently",Multiple Sectors,Germany,quoted,quoted,not quoted,not quoted
8,300,Unimportant,Other (please specify),"Functional Safety Consultant focussing of the system and software development process according IEC 61508, ISO26262, DO178C, EN50128",Consultant,Consultant,15,15.0,Yes,Medium (5-10),Software-intensive embedded systems,NotAnswered,NotAnswered,Software-intensive embedded systems,"railway, automotive, avionics, Industrial I have customers in all sectors currently",Multiple Sectors,Germany,quoted,quoted,not quoted,not quoted
